joke,"He smiled thinly , savoring his joke ."
bald,"Nothing bald , open ; ; but enough ."
cute,"Rhyme 'em up cute -- Arcilla , Flotilla '' Edmonia for her mother , she said firmly , Jennifer , for herself , and -- `` Kezziah , for Miss Kizzie '' , he suggested ."
pink,"They used pink , tan , or cream powder ."
stylemark,"What I have observed time and time again is a process of integration , integration that begins as abstract design and gradually takes on recognizable form ; ; color patterns that are made to weave throughout the whole composition ; ; and that over-all , amazing control of large washes which is the Mason stylemark ."
busier,"While no larger than Dutch Springs , this mining supply town had the appearance of being far busier and more prosperous ."
dew,"`` Rummaging in the dew '' , said Rosa coldly ."
leaving,"`` You're leaving '' ?"
upgrade,"Stations programing to Negro listeners are having to upgrade their shows in order to keep pace with rising educational , economic , and cultural levels ."
oust,"Lumumba and Kasavubu blamed it all on the military intervention by the Belgians , and appealed to the United Nations to send troops to oust them ."
decking,"The decking is quarter-inch mahogany marine plywood ."
prized,"Now he was certain : the lock had not yielded to Muller's collection of keys ; ; fresh scars showed that the door had been prized open ."
wearing,"She was wearing nothing beneath the coat ."
loader,"The American firearms and ammunition manufacturers through diligent research and technical development have replaced the muzzle loader and slow-firing single-shot arms with modern fast firing auto-loaders , extremely accurate bolt , lever , and slide action firearms ."
unwire,"But Johnson couldn't quickly unwire the truck door , and if I escaped , he might suffer ."
crawling,"The third crawling man forced himself erect ."
aye,"It is she who says aye or nay to the intimate questions of sexual technique and mechanics -- not the husband ."
over,"Six Bucs over ."
costive,"Its costive deliberations were likened to those of the British courts of chancery mercilessly caricatured by Dickens in Bleak House ."
clod,"I started looking on the splintery truck bed for a piece of board , a dirt clod -- anything I could throw and with better aim than I had thrown the beer bottle ."
edit,"Even earlier than that he had resented the fact that I had been chosen to edit the club's Reporter ."
hawk,"The fish hawk , his wings not moving , circled and glided lower ."
thumbnail,"The colonel crouched tensely on one of the folding chairs , methodically tearing at his thumbnail ."
caused,"What caused it , he didn't know ."
wicket,"They slid through the wicket in the big gate , ghosted across the dark ground ."
gay,"The tale , he thought , would become less gay ."
pearl,"Her veil was caught to a pearl headdress , and she carried stephanotis and orchids ."
might,"`` I might '' ."
hard,"Her laugh was hard ."
frowned,"He frowned ."
grimaced,"I grimaced in distaste ."
woe,"Now , here they both were , still the same , George full of round-eyed woe , and Cousin Emma in despair ."
mosque,"After the Turks conquered the city in 1453 they converted it to a mosque , adding the stubby minarets ."
best,"Let the best sex win ."
durable,"This chain bridge proved less durable than the wooden arch on the Salisbury end ."
flesh,"After all I'm made of flesh and blood ."
child,"A child with an I.Q."
roving,"Searching for the best in spiritual stories , my roving editors cover not only the country , but the whole world ."
sow,"I dig it , rake it smooth , sow the seeds and wet them down with a fog spray ."
faciunt,"But I suspect that the old Roman was referring to change made under military occupation -- the sort of change which Tacitus was talking about when he said , `` They make a desert , and call it peace '' ( `` Solitudinem faciunt , pacem appellant '' . )"
workbench,"In front of it would be his workbench ."
fusion,"He had to have fusion power to catch up with the skiff , and he had to have it fast ."
organised,"To forestall any change of allegiance , the Democrats hastily organised a testimonial banquet for O'Banion , as public reward for his past services and as a reminder of where his loyalties lay ."
powerful,"Neither was he very powerful of build ."
sprained,"Robinson was treated at a physician's office for a cut over his left eyebrow and a possible sprained knee ."
wifely,"On the other hand , wifely supremacy demeans the husband , saps his self-respect , and robs him of his masculinity ."
filthy,"I hear the boot of Lucifer , I see his filthy face '' !"
fluting,"Gaunt scaffoldings adjoined the ruins , and on the ground segments of columns two and a half to three feet in thickness were being fitted with sections cunningly chiseled to match exactly the fluting and proportion of the original ."
apron,"I saw that woman's apron behind the door ."
frame,"It provides a frame for the sampling census ."
script,"Andy crumbled the script in his fist ."
jerky,"A sharp tremor was followed by a jerky roll ."
mean,"Did , I mean '' ."
flow,"Adam watched the moisture flow from the poncho ."
handiwork,"We'd seen his handiwork out in the back yard , and the little his tenants had told us of him did make him sound a little special ."
tandem,"In other words , like automation machines designed to work in tandem , they shared the same programming , a mutual understanding not only of English words , but of the four stresses , pitches , and junctures that can change their meaning from black to white ."
farmhouse,"There were several people on the porch of the farmhouse ."
impotency,"In Cuba , the U. S. had blundered badly and created the impression of impotency against Communist penetration even on its own doorstep ."
comply,"`` Are you going to comply with the demands of Bern '' ?"
mister,"`` Listen , mister ."
bare,"I was suddenly conscious of my bare arms ."
tie,"He was kneeling to tie his shoelaces ."
tiled,"Alec's first impression of the lobby was gloomy , Victorian dignity -- black walnut and red plush , a black and white tiled floor , and Persian rugs ."
belong,", belong in this category ."
gushed,"Powder flame gushed beneath the wagon ."
dome,"A few years later the dome fell in ."
modesty,"The result was grace and modesty ."
snowed,"It snowed continuously , but quietly , evenly ."
sacred,"Is nothing in this country more sacred than the tourists' comfort ?"
picker,"`` This morning , we allowed a farmer $600 on the old picker he traded in on a new $2,700 model ."
crawled,"Mike crawled to the door and peered in ."
racy,"Very austere yet racy ."
hander,"He called in the pitcher who had been pitching , and a big , heavy , powerfully built right hander moved out to the mound for Anniston ."
hulk,"This huge hulk played the guitar and he would take it along on our walks and play for us as we sat alone in the woods or by the stream ."
jolt,"Cady felt the jolt as though he had stepped off the curb on his heel ."
unsteadily,"He paced forward unsteadily , leaning too far back , his head tilted oddly ."
